transaction_id,user_id,timestamp,transaction_amount,merchant_category,merchant_id,payment_method,device_id,device_type,city,hour_of_day,day_of_week,is_weekend,transaction_gap_minutes,daily_transaction_count,average_amount_last_7_days,std_amount_last_7_days,merchant_visit_frequency,device_usage_frequency,location_visit_frequency,new_device,new_location,new_merchant,distance_from_last_transaction_km,label
TXN05-00001,5,2026-05-12 06:05:35,577.57,Restaurants,50004,Card,DEV-05-2,iPhone,Delhi,6,1,0,0.0,1,577.57,0.0,1,1,1,1,1,1,0.0,0
TXN05-00002,5,2026-05-12 06:21:36,1067.2,Taxi,50002,Card,DEV-05-2,iPhone,Bangalore,6,1,0,16.02,2,577.57,0.0,1,2,1,0,1,1,1750.11,0
TXN05-00003,5,2026-05-12 06:55:14,3882.42,Taxi,50002,Card,DEV-05-2,iPhone,Pune,6,1,0,33.63,3,822.38,244.81,2,3,1,0,1,0,735.23,0
TXN05-00004,5,2026-05-12 07:06:10,717.9,Fuel,50003,UPI,DEV-05-1,Android,Bangalore,7,1,0,10.93,4,1842.4,1456.3,1,1,2,1,0,1,735.23,0
TXN05-00005,5,2026-05-12 07:36:13,1309.5,Hotels,50005,UPI,DEV-05-1,Android,Mumbai,7,1,0,30.05,5,1561.27,1351.92,1,2,1,0,1,1,845.32,0
TXN05-00006,5,2026-05-12 07:46:53,1835.46,Restaurants,50016,UPI,DEV-05-1,Android,Bangalore,7,1,0,10.67,6,1510.92,1213.38,1,3,3,0,0,1,845.32,0
TXN05-00007,5,2026-05-12 07:59:13,695.4,Restaurants,50026,UPI,DEV-05-1,Android,Mumbai,7,1,0,12.33,7,1565.01,1114.25,1,4,2,0,0,1,845.32,0
TXN05-00008,5,2026-05-12 08:55:10,1160.23,Restaurants,50011,Card,DEV-05-2,iPhone,Delhi,8,1,0,55.95,8,1440.78,1075.54,1,4,2,0,0,1,1153.24,0
TXN05-00009,5,2026-05-12 08:59:16,4000.0,Restaurants,50019,Card,DEV-05-1,Android,Pune,8,1,0,4.1,9,1405.71,1010.34,1,5,2,0,0,1,1179.48,0
TXN05-00010,5,2026-05-12 09:16:18,1967.4,Restaurants,50012,UPI,DEV-05-1,Android,Delhi,9,1,0,17.03,10,1693.96,1253.83,1,6,3,0,0,1,1179.48,0
TXN05-00011,5,2026-05-12 09:30:20,319.71,Hotels,50017,UPI,DEV-05-1,Android,Lucknow,9,1,0,14.03,11,1721.31,1192.31,1,7,1,0,1,1,430.84,0
TXN05-00012,5,2026-05-12 10:02:02,1102.09,Taxi,50007,UPI,DEV-05-2,iPhone,Delhi,10,1,0,31.7,12,1593.89,1206.12,1,5,4,0,0,1,430.84,0
TXN05-00013,5,2026-05-12 10:03:11,2375.49,Fuel,50013,Card,DEV-05-1,Android,Delhi,10,1,0,1.15,13,1552.91,1162.75,1,8,5,0,0,1,0.0,0
TXN05-00014,5,2026-05-12 10:42:24,1524.12,Fuel,50013,UPI,DEV-05-2,iPhone,Pune,10,1,0,39.22,14,1616.18,1138.43,2,6,3,0,0,0,1179.48,0
TXN05-00015,5,2026-05-12 10:44:31,2783.38,Hotels,50024,UPI,DEV-05-1,Android,Bangalore,10,1,0,2.12,15,1609.61,1097.28,1,9,4,0,0,1,735.23,0
TXN05-00016,5,2026-05-12 11:05:21,4000.0,Hotels,50014,Card,DEV-05-1,Android,Delhi,11,1,0,20.83,16,1687.86,1099.76,1,10,6,0,0,1,1750.11,0
TXN05-00017,5,2026-05-12 11:11:24,1873.54,Hotels,50005,UPI,DEV-05-1,Android,Bangalore,11,1,0,6.05,17,1832.37,1202.96,2,11,5,0,0,0,1750.11,0
TXN05-00018,5,2026-05-12 12:23:04,1106.86,Fuel,50006,UPI,DEV-05-1,Android,Bangalore,12,1,0,71.67,18,1834.79,1167.09,1,12,6,0,0,1,0.0,0
TXN05-00019,5,2026-05-12 12:38:05,575.49,Fuel,50006,Card,DEV-05-2,iPhone,Delhi,12,1,0,15.02,19,1794.35,1146.4,2,7,7,0,0,0,1750.11,0
TXN05-00020,5,2026-05-12 12:43:19,687.7,Fuel,50006,Card,DEV-05-1,Android,Pune,12,1,0,5.23,20,1730.2,1148.53,3,13,4,0,0,0,1179.48,0
TXN05-00021,5,2026-05-12 13:40:39,569.6,Taxi,50002,Card,DEV-05-1,Android,Pune,13,1,0,57.33,21,1678.07,1142.28,3,14,5,0,0,0,0.0,0
TXN05-00022,5,2026-05-12 13:40:58,3705.1,Fuel,50003,Card,DEV-05-1,Android,Bangalore,13,1,0,0.32,22,1625.29,1139.47,2,15,7,0,0,0,735.23,0
TXN05-00023,5,2026-05-12 14:07:49,1338.34,Restaurants,50020,UPI,DEV-05-1,Android,Delhi,14,1,0,26.85,23,1719.83,1194.59,1,16,8,0,0,1,1750.11,0
TXN05-00024,5,2026-05-12 14:30:00,2481.89,Restaurants,50001,Card,DEV-05-1,Android,Delhi,14,1,0,22.18,24,1703.24,1170.92,1,17,9,0,0,1,0.0,0
TXN05-00025,5,2026-05-12 14:32:36,1539.47,Hotels,50005,UPI,DEV-05-2,iPhone,Pune,14,1,0,2.6,25,1735.68,1156.78,3,8,6,0,0,0,1179.48,0
TXN05-00026,5,2026-05-12 14:59:23,1548.23,Restaurants,50011,UPI,DEV-05-1,Android,Jaipur,14,1,0,26.78,26,1727.83,1134.06,2,18,1,0,1,0,953.87,0
TXN05-00027,5,2026-05-12 14:59:37,3288.49,Hotels,50010,UPI,DEV-05-1,Android,Mumbai,14,1,0,0.23,27,1720.93,1112.57,1,19,3,0,0,1,920.74,0
TXN05-00028,5,2026-05-12 15:22:00,1880.78,Fuel,50003,Card,DEV-05-1,Android,Mumbai,15,1,0,22.38,28,1778.98,1131.2,3,20,4,0,0,0,0.0,0
TXN05-00029,5,2026-05-12 15:24:27,4000.0,Restaurants,50012,UPI,DEV-05-1,Android,Bangalore,15,1,0,2.45,29,1782.62,1110.98,2,21,8,0,0,0,845.32,0
TXN05-00030,5,2026-05-12 16:18:11,2226.21,Restaurants,50001,UPI,DEV-05-1,Android,Delhi,16,1,0,53.73,30,1859.08,1164.22,2,22,10,0,0,0,1750.11,0
TXN05-00031,5,2026-05-12 16:50:37,1465.6,Restaurants,50009,UPI,DEV-05-1,Android,Pune,16,1,0,32.43,31,1871.32,1146.55,1,23,7,0,0,1,1179.48,0
TXN05-00032,5,2026-05-12 17:12:27,1558.02,Hotels,50025,UPI,DEV-05-2,iPhone,Bangalore,17,1,0,21.83,32,1858.23,1130.18,1,9,9,0,0,1,735.23,0
