feature,importance
num__transaction_amount,0.256589584048854
num__transaction_gap_minutes,0.0964308741233657
num__distance_from_last_transaction_km,0.0884591790054007
cat__merchant_category_grocery,0.07200430068748231
num__new_merchant,0.052492060744734656
cat__merchant_category_electronics,0.04354309720816222
cat__merchant_category_digital_goods,0.03442910794217148
cat__merchant_category_travel,0.03214615855431767
cat__merchant_category_dining,0.03138208784748878
num__location_visit_frequency,0.02968729249780908
num__device_usage_frequency,0.02944577280762097
cat__merchant_category_retail,0.023720880825275594
num__new_location,0.0175767062725351
num__daily_transaction_count,0.016838426477090145
num__new_device,0.015054541147619234
cat__merchant_category_entertainment,0.014302317162740101
num__std_amount_last_7_days,0.01312316872764605
num__average_amount_last_7_days,0.013120063752590488
num__merchant_visit_frequency,0.01277227043795467
num__hour_of_day,0.011517783673918517
