feature,importance
num__new_device,0.16721134
num__transaction_amount,0.16124077
cat__merchant_category_electronics,0.111748844
cat__merchant_category_grocery,0.08518155
num__transaction_gap_minutes,0.05714915
cat__merchant_category_digital_goods,0.05489959
cat__merchant_category_dining,0.04845248
cat__merchant_category_travel,0.03429202
cat__merchant_category_retail,0.033862196
num__distance_from_last_transaction_km,0.03280884
num__new_merchant,0.030925121
cat__merchant_category_entertainment,0.029081274
cat__merchant_id_merch_user_02_16,0.018692587
cat__merchant_id_merch_user_02_4,0.017682714
cat__merchant_id_merch_user_02_18,0.015684094
cat__merchant_id_merch_user_02_5,0.015098792
num__device_usage_frequency,0.0118884
cat__merchant_id_merch_user_02_8,0.009877917
cat__merchant_id_merch_user_02_15,0.009871159
num__new_location,0.009627995
