n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,precision,recall,f1,roc_auc,pr_auc,best_iteration
100,3,0.03,0.8,0.8,1,0.6769911504424779,1.0,0.8073878627968337,0.9994585814834867,0.9883040935672514,99
100,3,0.03,0.8,0.8,3,0.6769911504424779,1.0,0.8073878627968337,0.9994585814834868,0.9883040935672514,99
100,3,0.03,0.8,1.0,1,0.6566523605150214,1.0,0.7927461139896373,0.9998389899182919,0.996820200428445,99
100,3,0.03,0.8,1.0,3,0.6566523605150214,1.0,0.7927461139896373,0.9998389899182919,0.996820200428445,99
100,3,0.03,1.0,0.8,1,0.6740088105726872,1.0,0.8052631578947368,0.9994585814834868,0.9883040935672514,99
100,3,0.03,1.0,0.8,3,0.6740088105726872,1.0,0.8052631578947368,0.9994585814834868,0.9883040935672514,99
100,3,0.03,1.0,1.0,1,0.6652173913043479,1.0,0.7989556135770235,0.9992179510317031,0.9838609559279949,99
100,3,0.03,1.0,1.0,3,0.6652173913043479,1.0,0.7989556135770235,0.9992179510317031,0.9838609559279949,99
100,3,0.05,0.8,0.8,1,0.8138297872340425,1.0,0.8973607038123167,0.9998885314818943,0.9974264705882352,99
100,3,0.05,0.8,0.8,3,0.8138297872340425,1.0,0.8973607038123167,0.9998885314818943,0.9974264705882352,99
100,3,0.05,0.8,1.0,1,0.7320574162679426,1.0,0.8453038674033149,0.9998761460909937,0.99741208328195,99
100,3,0.05,0.8,1.0,3,0.7285714285714285,1.0,0.8429752066115702,0.9998885314818943,0.9974264705882352,99
100,3,0.05,1.0,0.8,1,0.8095238095238095,1.0,0.8947368421052632,0.9998885314818943,0.9974264705882352,99
100,3,0.05,1.0,0.8,3,0.8095238095238095,1.0,0.8947368421052632,0.9998885314818943,0.9974264705882351,99
100,3,0.05,1.0,1.0,1,0.7285714285714285,1.0,0.8429752066115702,0.9998885314818943,0.9974264705882353,99
100,3,0.05,1.0,1.0,3,0.7320574162679426,1.0,0.8453038674033149,0.9998885314818944,0.9974264705882354,99
100,3,0.1,0.8,0.8,1,0.9386503067484663,1.0,0.9683544303797469,0.9998761460909937,0.9974120832819499,99
100,3,0.1,0.8,0.8,3,0.9386503067484663,1.0,0.9683544303797469,0.9999186102883673,0.9983733450645215,99
100,3,0.1,0.8,1.0,1,0.9329268292682927,1.0,0.9652996845425867,0.9998566833338642,0.9977559085958234,99
100,3,0.1,0.8,1.0,3,0.9329268292682927,1.0,0.9652996845425867,0.9998690687247648,0.9978750732887217,99
100,3,0.1,1.0,0.8,1,0.9329268292682927,1.0,0.9652996845425867,0.9998885314818944,0.9974264705882353,99
100,3,0.1,1.0,0.8,3,0.9386503067484663,1.0,0.9683544303797469,0.9998885314818944,0.9974264705882351,99
100,3,0.1,1.0,1.0,1,0.9272727272727272,1.0,0.9622641509433962,0.9998885314818943,0.9974264705882353,99
100,3,0.1,1.0,1.0,3,0.9386503067484663,1.0,0.9683544303797469,0.9998885314818944,0.9974264705882352,99
100,5,0.03,0.8,0.8,1,0.9329268292682927,1.0,0.9652996845425867,0.9999009168727949,0.9987526873101111,99
100,5,0.03,0.8,0.8,3,0.8693181818181818,1.0,0.9300911854103343,0.999900916872795,0.9987526873101109,99
100,5,0.03,0.8,1.0,1,0.8947368421052632,1.0,0.9444444444444444,0.9998920701650088,0.9977284479192521,99
100,5,0.03,0.8,1.0,3,0.8895348837209303,1.0,0.9415384615384615,0.9998867621403371,0.9984000586589408,99
100,5,0.03,1.0,0.8,1,0.9329268292682927,1.0,0.9652996845425867,0.999939842387054,0.9992512321561587,99
100,5,0.03,1.0,0.8,3,0.9329268292682927,1.0,0.9652996845425867,0.9999433810701684,0.9992939470462278,99
100,5,0.03,1.0,1.0,1,0.8947368421052632,1.0,0.9444444444444444,0.9998920701650087,0.9977284479192519,99
100,5,0.03,1.0,1.0,3,0.8947368421052632,1.0,0.9444444444444444,0.9999097635805811,0.9980881508554228,99
100,5,0.05,0.8,0.8,1,0.9444444444444444,1.0,0.9714285714285714,0.9999893839506565,0.9998729465783079,99
