User,Model,Precision,Recall,F1,ROC-AUC,PR-AUC
user_01,XGBoost,0.9811320754716981,1.0,0.9904761904761905,0.9999339507202848,0.9993
user_01,Random Forest,0.9862,0.9167,0.9502,0.9993,0.9921
user_02,XGBoost,0.9811320754716981,1.0,0.9904761904761905,0.9999339507202848,0.9992
user_02,Random Forest,0.9412,0.9231,0.932,0.9991,0.989
user_03,XGBoost,0.9863013698630136,1.0,0.993103448275862,0.9999700670498084,0.9996072782373396
user_03,Random Forest,0.9844,0.875,0.9265,0.9993,0.9912
user_04,XGBoost,0.9483870967741936,1.0,0.9735099337748344,0.9999743016472644,0.9996803840594805
user_04,Random Forest,0.9571,0.9116,0.9338,0.9993,0.9916
user_05,XGBoost,0.981132075471698,1.0,0.9904761904761904,0.9999339507202848,0.9991991207561866
user_05,Random Forest,0.9412,0.9231,0.932,0.9991,0.989
user_06,XGBoost,0.9863013698630136,1.0,0.993103448275862,0.9999700670498084,0.9996072782373396
user_06,Random Forest,0.9844,0.875,0.9265,0.9993,0.9912
user_07,XGBoost,0.9483870967741936,1.0,0.9735099337748344,0.9999743016472644,0.9996803840594805
user_07,Random Forest,0.9571,0.9116,0.9338,0.9993,0.9916
user_08,XGBoost,0.96045197740113,1.0,0.9798270893371758,0.9999003535840568,0.9989370357262938
user_08,Random Forest,1.0,0.8706,0.9308,0.9992,0.9917
user_09,XGBoost,0.9937888198757764,0.9937888198757764,0.9937888198757764,0.9999932450460856,0.9999237892009298
user_09,Random Forest,0.9481,0.9068,0.927,0.9994,0.9934
user_10,XGBoost,0.9620253164556962,1.0,0.9806451612903224,0.9999821998177262,0.9997821349493436
user_10,Random Forest,1.0,0.8947,0.9444,0.9996,0.9947
